Price,URL,Type,Location,Bedrooms,Bathrooms,Parking.Spaces,Erf.Size,Floor.Size,Latitude,Longitude,Erf.Size.Normalized,Floor.Size.Normalized,Size,Predicted,Difference
795000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/113824574,House,Ocean View,0.133333333333333,0.2,0.2,187.0,,0.589297092598906,0.0,0.224366706875754,,0.224366706875754,1167309.0,372309.0
470000,https://www.property24.com/for-sale/valhalla-park/cape-town/western-cape/8127/115092314,House,Valhalla Park,0.0666666666666667,0.2,0.1,120.0,,0.940185675929392,0.299312673967585,0.143546441495778,,0.143546441495778,842164.0,372164.0
799000,https://www.property24.com/for-sale/guguletu/cape-town/western-cape/8696/114622205,House,Guguletu,0.266666666666667,0.4,0.2,,189.0,0.367061730166677,0.539582721453198,,0.793991416309013,0.793991416309013,1169635.0,370635.0
420000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114664468,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,32.0,0.299112099254906,0.235312456728385,,0.120171673819742,0.120171673819742,789782.0,369782.0
900000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115144972,Apartment,Zonnebloem,0.0666666666666667,0.2,0.1,,46.0,0.524774516642217,0.138378621885843,,0.180257510729614,0.180257510729614,1267489.0,367489.0
449500,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/114700249,Apartment,Maitland,0.0666666666666667,0.2,0.0,,35.0,0.556668716539425,0.312988176923529,,0.133047210300429,0.133047210300429,815354.0,365854.0
510000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115114879,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,45.0,0.299112099254906,0.235312456728385,,0.175965665236052,0.175965665236052,875655.0,365655.0
510000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114560753,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,45.0,0.299112099254906,0.235312456728385,,0.175965665236052,0.175965665236052,875655.0,365655.0
875000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115116262,Apartment,Salt River,0.0666666666666667,0.2,0.1,,42.0,0.527457870987542,0.21651398666298,,0.163090128755365,0.163090128755365,1239845.0,364845.0
650000,https://www.property24.com/for-sale/southfield/cape-town/western-cape/10096/114391943,Apartment,Southfield,0.0666666666666667,0.2,0.1,,51.0,0.243239086283549,0.236446058907952,,0.201716738197425,0.201716738197425,1013691.0,363691.0
905000,https://www.property24.com/for-sale/mouille-point/cape-town/western-cape/11018/115170282,Apartment,Mouille Point,0.0333333333333333,0.2,0.0,,38.0,0.628029369586331,0.0445719956630236,,0.145922746781116,0.145922746781116,1267536.0,362536.0
905000,https://www.property24.com/for-sale/mouille-point/cape-town/western-cape/11018/114912774,Apartment,Mouille Point,0.0333333333333333,0.2,0.0,,38.0,0.628029369586331,0.0445719956630236,,0.145922746781116,0.145922746781116,1267536.0,362536.0
480000,https://www.property24.com/for-sale/kensington/cape-town/western-cape/8010/114851279,Apartment,Kensington,0.0666666666666667,0.2,0.1,,24.0,0.582243762994914,0.354795064090154,,0.0858369098712446,0.0858369098712446,841035.0,361035.0
905000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115097533,Apartment,Mouille Point,0.0666666666666667,0.2,0.0,,38.0,0.628029369586331,0.0445719956630236,,0.145922746781116,0.145922746781116,1264836.0,359836.0
450000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114602286,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,36.0,0.299112099254906,0.235312456728385,,0.137339055793991,0.137339055793991,807782.0,357782.0
849000,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/114861222,Apartment,Cape Town City Centre,0.0333333333333333,0.2,0.1,,32.0,0.55691603469312,0.112203563656566,,0.120171673819742,0.120171673819742,1206053.0,357053.0
815000,https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/114751381,Apartment,Mowbray,0.0333333333333333,0.2,0.0,,34.0,0.474652746580796,0.256130413041706,,0.128755364806867,0.128755364806867,1167773.0,352773.0
815000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115180012,Apartment,Zonnebloem,0.0333333333333333,0.2,0.1,,32.0,0.524774516642217,0.138378621885843,,0.120171673819742,0.120171673819742,1167416.0,352416.0
549000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115223703,House,Pelican Park,0.133333333333333,0.2,0.4,132.0,,0.137255860630656,0.419551972124291,0.158021712907117,,0.158021712907117,900582.0,351582.0
490000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/114452315,House,Pelican Park,0.133333333333333,0.2,0.0,95.0,,0.137255860630656,0.419551972124291,0.113389626055489,,0.113389626055489,838755.0,348755.0
340000,https://www.property24.com/for-sale/claremont-upper/cape-town/western-cape/14225/115222446,House,Greenville Garden City,0.133333333333333,0.2,0.1,136.0,,1.0,1.0,0.162846803377563,,0.162846803377563,688269.0,348269.0
850000,https://www.property24.com/for-sale/steenberg/cape-town/western-cape/9040/114038406,House,Steenberg,0.266666666666667,0.4,0.3,368.0,,0.0733912652561895,0.246096495231574,0.44270205066345,,0.44270205066345,1197382.0,347382.0
