"Price","URL","Type","Location","Bedrooms","Bathrooms","Parking.Spaces","Erf.Size","Floor.Size","Latitude","Longitude"
1300000,"https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115225097","House","Pelican Park",4,2,5,396,NA,-34.0546062,18.5284575
750000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115189819","Apartment","Belhar",2,1,1,NA,38,-33.9447222,18.6258333
1000000,"https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/115200405","Apartment","Observatory",1,1,1,NA,56,-33.9369444,18.4683333
1500000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115224138","Apartment","Zonnebloem",1,1,0,NA,42,-33.932546,18.435048
999000,"https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115019070?plId=1834752&amp;plt=4","Apartment","Salt River",1,1,1,NA,56,-33.9317008,18.4610056
1350000,"https://www.property24.com/for-sale/diep-river/cape-town/western-cape/10195/115221196","Apartment","Diep River",2,1,1,NA,70,-33.8615577730461,18.4973548386731
850000,"https://www.property24.com/for-sale/guguletu/cape-town/western-cape/8696/115215799","House","Guguletu",2,1,1,288,NA,-33.9822222,18.5683333
970000,"https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/114539512","Apartment","Ottery",2,2,1,NA,45,-34.0131526,18.5091531
780000,"https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115214124","Apartment","Maitland",2,1,0,NA,74,-33.9225,18.4930556
995000,"https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/115224201","Apartment","Gardens",0.5,1,0,NA,17,-33.9327778,18.4097222
1450000,"https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115223216","Apartment","Plumstead",2,1,1,NA,50,-34.02,18.4772222
1450000,"https://www.property24.com/for-sale/fairways/cape-town/western-cape/10068/115161039","House","Fairways",2,1,5,200,NA,-34.02141615,18.4935969081208
1450000,"https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115012187","Apartment","Plumstead",2,1,2,NA,80,-34.02,18.4772222
750000,"https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115047951","House","Ocean View",3,1,2,150,NA,-33.91222275,18.3890767944427
1350000,"https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115053895","Apartment","Plumstead",1,1,1,NA,51,-34.02,18.4772222
1495000,"https://www.property24.com/for-sale/lakeside/cape-town/western-cape/10174/115168124","Apartment","Lakeside",1,1,1,NA,53,-34.0872222,18.4569444
1350000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115167829","Apartment","Woodstock",0.5,1,1,NA,24,-33.9305556,18.4472222
