Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size
850000,https://www.property24.com/for-sale/guguletu/cape-town/western-cape/8696/115215799,2 Bedroom House,Guguletu,2,1,1,288,
970000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/114539512,2 Bedroom Apartment,Ottery,2,2,1,,45
780000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115214124,2 Bedroom Apartment,Maitland,2,1,,,74
995000,https://www.property24.com/for-sale/gardens/cape-town/western-cape/9145/115224201,0.5 Bedroom Apartment,Gardens,0.5,1,,,17
1450000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115223216,2 Bedroom Apartment,Plumstead,2,1,1,,50
1450000,https://www.property24.com/for-sale/fairways/cape-town/western-cape/10068/115161039,2 Bedroom House,Fairways,2,1,5,200,
1450000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115012187,2 Bedroom Apartment,Plumstead,2,1,2,,80
750000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115047951,3 Bedroom House,Ocean View,3,1,2,150,
1350000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115053895,1 Bedroom Apartment,Plumstead,1,1,1,,51
1495000,https://www.property24.com/for-sale/lakeside/cape-town/western-cape/10174/115168124,1 Bedroom Apartment,Lakeside,1,1,1,,53
1350000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115167829,0.5 Bedroom Apartment,Woodstock,0.5,1,1,,24
1350000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115167756,0.5 Bedroom Apartment,Woodstock,0.5,1,1,,24
1499000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115172029,4 Bedroom House,Retreat,4,2,3,404,
510000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115114879,1 Bedroom Apartment,Wynberg,1,1,1,,45
800000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115171570,2 Bedroom Apartment,Maitland,2,1,1,,54
920000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115168755,2 Bedroom House,Ottery,2,1,1,72,
