Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size,Latitude,Longitude
649000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114757705,apartment,Wynberg,2.0,1.0,1.0,,68.0,-34.0036249,18.4672507
1400000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114533363,apartment,Zonnebloem,2.0,1.0,1.0,,58.0,-33.932546,18.435048
875000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/114667438,apartment,Belhar,2.0,1.0,,,38.0,-33.9447222,18.6258333
995000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114754884,apartment,Wynberg,2.0,2.0,1.0,,82.0,-34.0036249,18.4672507
1249999,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/115054104,apartment,Cape Town City Centre,0.5,1.0,,,,-33.9224221,18.4263523
1495000,https://www.property24.com/for-sale/rosebank/cape-town/western-cape/8683/114697297,apartment,Rosebank,2.0,1.0,1.0,,69.0,-33.9519444,18.4738889
500000,https://www.property24.com/for-sale/kensington/cape-town/western-cape/8010/114685737,apartment,Kensington,1.0,1.0,1.0,,33.0,-33.9144444,18.5069444
1149000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/114815585,house,Pelican Park,2.0,1.0,2.0,240.0,,-34.0546062,18.5284575
460000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/114837707,apartment,Retreat,1.0,1.0,,,,-34.0541667,18.4763889
930000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114172882,apartment,Zonnebloem,1.0,1.0,1.0,,46.0,-33.932546,18.435048
950000,https://www.property24.com/for-sale/montana/cape-town/western-cape/8165/114765824,house,Montana,5.0,2.0,,570.0,,,
875000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/114676845,apartment,Ottery,2.0,2.0,1.0,,45.0,-34.0131526,18.5091531
700000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/114958230,apartment,Belhar,2.0,1.0,1.0,,40.0,-33.9447222,18.6258333
1295000,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/114056253,apartment,Costa Da Gama,2.0,1.0,2.0,,62.0,,
995000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/114677044,apartment,Pinelands,2.0,1.0,1.0,,55.0,-33.9316667,18.5127778
1075000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/114750485,apartment,Plumstead,1.0,1.0,1.0,,48.0,-34.02,18.4772222
1100000,https://www.property24.com/for-sale/capricorn/cape-town/western-cape/12788/113098746,apartment,Capricorn,2.0,1.0,1.0,,54.0,-33.874940300000006,18.507925701408627
979000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/114843895,apartment,Pinelands,2.0,1.0,,42.0,,-33.9316667,18.5127778
1299000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/114896359,house,Pelican Park,,,,,,-34.0546062,18.5284575
1360000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/114640341,apartment,Muizenberg,3.0,1.0,1.0,,71.0,-34.0978389,18.484570761750607
1200000,https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/114643737,apartment,Observatory,1.0,1.0,1.0,,45.0,-33.9369444,18.4683333
1360000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/114841629,apartment,Muizenberg,3.0,1.0,1.0,,71.0,-34.0978389,18.484570761750607
1150000,https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/113921806,apartment,Rondebosch,0.5,1.0,1.0,,44.0,-33.9680556,18.4877778
799000,https://www.property24.com/for-sale/nyanga/cape-town/western-cape/9132/114782301,house,Nyanga,2.0,1.0,,242.0,,-33.9869444,18.5847222
1350000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115186759,apartment,Woodstock,1.0,1.0,1.0,,59.0,-33.9305556,18.4472222
1290000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/114863565,house,Pelican Park,4.0,2.0,6.0,332.0,,-34.0546062,18.5284575
1350000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/113874487,apartment,Woodstock,1.0,1.0,1.0,,59.0,-33.9305556,18.4472222
800000,https://www.property24.com/for-sale/philippi-east/cape-town/western-cape/16287/114819903,house,Philippi East,15.0,4.0,,222.0,,-34.0104321,18.6068878
1395000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/113915674,apartment,Zonnebloem,2.0,1.0,1.0,,63.0,-33.932546,18.435048
1395000,https://www.property24.com/for-sale/walmer-estate/cape-town/western-cape/10163/114753543,land,Walmer Estate,,,,242.0,,-33.93608965,18.445163858897143
650000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/114885584,house,Bonteheuwel,2.0,1.0,1.0,118.0,,-33.94530418976714,18.5035322
1195000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/114062886,apartment,Muizenberg,2.0,1.0,1.0,,63.0,-34.0978389,18.484570761750607
850000,https://www.property24.com/for-sale/lansdowne/cape-town/western-cape/8778/114656357,apartment,Lansdowne,2.0,1.0,1.0,,57.0,-33.9963409,18.5068931
800000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114313371,apartment,Wynberg,1.0,1.0,1.0,,60.0,-34.0036249,18.4672507
995000,https://www.property24.com/for-sale/kensington/cape-town/western-cape/8010/114759747?plId=1847452&amp;plt=4,house,Kensington,2.0,1.0,3.0,,,-33.9144444,18.5069444
950000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114072334,apartment,Zonnebloem,1.0,1.0,1.0,,35.0,-33.932546,18.435048
1199000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/114724079,house,Belhar,3.0,2.0,5.0,325.0,,-33.9447222,18.6258333
550000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/114865944,house,Bonteheuwel,1.0,1.0,,206.0,,-33.94530418976714,18.5035322
995000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114723978,apartment,Wynberg,2.0,2.0,1.0,,82.0,-34.0036249,18.4672507
1350000,https://www.property24.com/for-sale/westlake/cape-town/western-cape/11740/104830976,property,Westlake,,,,,52.0,-34.0784902,18.4410137
270000,https://www.property24.com/for-sale/greenville-garden-city/cape-town/western-cape/16424/114810561,house,Greenville Garden City,2.0,1.0,1.0,98.0,,,
299000,https://www.property24.com/for-sale/philippi/cape-town/western-cape/8818/114927757,house,Philippi,2.0,1.0,2.0,155.0,,-34.001892,18.59576684097912
1195000,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/114856533,apartment,Claremont,2.0,1.0,1.0,77.0,,-33.9847222,18.4625
1495000,https://www.property24.com/for-sale/thornton/cape-town/western-cape/8112/114645885,townhouse,Thornton,2.0,1.0,2.0,180.0,,-33.9189157,18.5318232
1234000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/114639729,apartment,Plumstead,2.0,1.0,3.0,,59.0,-34.02,18.4772222
850000,https://www.property24.com/for-sale/cape-farms/cape-town/western-cape/12693/115053407,apartment,Cape Farms,2.0,1.0,,,,,
1350000,https://www.property24.com/for-sale/grassy-park/cape-town/western-cape/10204/114810270,house,Grassy Park,3.0,1.0,5.0,482.0,,-34.0451287,18.5032529
1100000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115213795,apartment,Zonnebloem,2.0,1.0,1.0,,59.0,-33.932546,18.435048
510000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114600008,apartment,Wynberg,1.0,1.0,1.0,,34.0,-34.0036249,18.4672507
1050000,https://www.property24.com/for-sale/bridgetown/cape-town/western-cape/8723/114783099,house,Bridgetown,2.0,1.0,8.0,360.0,,-33.9563889,18.5305556
650000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/114840041,house,Pelican Park,2.0,1.0,4.0,98.0,,-34.0546062,18.5284575
